Tract,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS,pi_i
26163520200,1063,3550,3241,137,96,76,15.759755437358198,0.2925982364000309
26163520300,1676,2505,1809,312,231,153,11.1896940654173,0.2077497180975181
26163520400,1379,1583,906,333,228,116,7.120411697222769,0.13219874593426914
26163520700,3303,3067,1776,466,412,413,13.707158979926094,0.2544893897321501
26163520800,1079,1185,399,233,293,260,5.292813157734973,0.09826724797245548
26163521100,841,1259,433,334,281,211,5.672940786285312,0.10532476064534249
26163521400,978,1211,604,289,192,126,5.458719669507315,0.10134749581924603
26163521500,705,1031,413,224,254,140,4.619023489376633,0.08575755710511673
26163521800,901,1179,282,207,249,441,5.25398570681209,0.09754637107121793
26163521900,1530,2409,1125,436,488,360,10.76856143160105,0.19993089968787212
26163522000,915,1341,463,300,372,206,6.003437196127014,0.11146081187028674
26163522300,1005,982,257,192,368,165,4.365117913219998,0.08104350401648462
26163522400,519,614,262,141,168,43,2.7531501430188916,0.05111544272332042
26163522500,1354,1181,263,247,383,288,5.264306016491656,0.09773797965444411
26163522800,648,913,293,242,248,130,4.106786387871639,0.07624727802021813
26163523100,575,948,411,266,194,77,4.285246151859246,0.07956059163213879
26163523200,1157,2252,880,658,465,249,10.188597542228038,0.1891631938131995
26163523300,1057,2023,801,589,421,212,9.151456299014976,0.16990745727159567
26163523400,1260,1669,627,447,373,222,7.524785108702178,0.13970640983909513
26163523800,1270,2544,1063,729,522,230,11.505641401304125,0.21361564879950304
26163524001,1013,1797,666,550,367,214,8.142059432571953,0.15116682743613327
26163524101,1519,2583,897,714,607,365,11.649917600418354,0.2162943046697111
26163524200,1463,2884,1122,901,577,284,13.080648863234547,0.24285749887195449
26163524300,880,1776,672,555,382,167,8.050799543922295,0.14947248118951226
26163524600,705,1087,348,283,301,155,4.88596538773614,0.09071364471648394
26163524700,1858,2954,743,645,878,688,13.196309807590458,0.24500487917067915
26163524800,1174,1958,536,466,527,429,8.776406531198834,0.1629442210042923
26163525400,844,1312,413,288,395,216,5.864734815313237,0.10888564043619248
26163525700,1483,2906,1057,956,606,287,13.198944048079728,0.24505378691702567
26163525800,640,1140,460,352,233,95,5.168445544109513,0.0959582182063064
26163525900,962,1771,634,547,382,208,8.023075313496655,0.14895774852374633
26163526000,965,1948,834,538,383,193,8.802773414243276,0.1634337529331877
26163526100,747,1679,741,468,284,186,7.5967422346543465,0.14104237778819856
26163526200,875,1869,810,580,300,179,8.488751913643306,0.15760357760892868
26163526300,1106,2104,827,685,390,202,9.561938023824244,0.17752852913600575
26163526400,508,964,363,265,205,131,4.35127798653202,0.08078654963943835
26163526500,969,1312,451,315,314,232,5.891602612793405,0.10938447242567977
26163527900,1452,1386,421,368,357,240,6.236384091609702,0.11578574261328071
26163530100,1389,1867,535,407,574,351,8.340237638172162,0.1548462369093341
26163530200,1583,2903,1364,482,627,430,12.949187468142734,0.24041676478115948
26163530300,780,1026,303,265,275,183,4.610829406811257,0.08560542440755839
26163530400,782,901,329,184,245,143,4.0259311594914795,0.0747461064238826
26163530500,1177,1713,571,387,436,319,7.675309268552572,0.1425010663858216
26163530800,1011,1092,333,231,310,218,4.87890536757781,0.09058256720988893
26163530900,1273,1281,373,269,360,279,5.72204266341257,0.10623639424958672
26163531100,774,785,231,159,282,113,3.4950813828508274,0.06489026132173029
26163531200,1134,1793,593,430,433,337,8.049763934190679,0.14945325388726927
26163531300,667,893,253,190,277,173,3.9863015309204695,0.07401033615922617
26163531400,891,1154,361,253,305,235,5.164048303401593,0.09587657830514944
26163531501,860,982,325,259,244,154,4.420044445613745,0.08206327913760628
26163531502,625,580,185,140,165,90,2.600679640467159,0.048284650054805395
26163531600,1015,1290,394,294,387,215,5.771704261923161,0.10715841973397719
26163531700,1005,1247,369,246,373,259,5.559052539995557,0.10321029255327539
26163531800,960,1127,349,255,322,201,5.043872056338024,0.09364536614657618
26163531900,527,657,179,159,206,113,2.9422088324478715,0.05462553774496586
26163532100,1160,1780,590,425,412,353,7.9929365971347455,0.1483981881111557
26163532400,959,1255,442,296,338,179,5.628141398631323,0.10449300777509896
26163532600,1490,1733,627,337,454,315,7.73686619557934,0.1436439425146949
26163532700,499,406,143,103,85,75,1.8278660221663534,0.033936464089639976
26163533000,794,1131,322,223,348,238,5.039987906523525,0.09357325237614658
26163533100,977,1055,311,207,244,293,4.712354767537972,0.08749036111337148
26163533200,703,839,292,164,209,174,3.747092614760417,0.06956914370051077
26163533300,761,922,275,177,285,185,4.106499942258,0.07624195982339024
26163533400,1468,1646,551,360,429,306,7.367641923106859,0.1367888633612812
26163533600,991,1035,302,275,279,179,4.654897555573116,0.0864236009751064
26163533800,1184,1445,410,345,420,270,6.473879106782628,0.12019511450167124
26163533900,2610,2917,1262,566,704,385,13.039311933550186,0.24209003057132564
26163534100,1127,1316,359,321,404,232,5.895893510387296,0.10946413794292309
26163534200,1632,2257,670,519,608,460,10.109338109189268,0.18769165001815835
26163534300,676,820,283,194,207,136,3.679320790734393,0.06831088076194883
26163534400,874,1135,348,251,328,208,5.075987164977466,0.09424162058637675
26163534700,1463,2214,669,521,594,430,9.923770252754638,0.18424636638154826
26163534800,1194,1641,471,427,406,337,7.380350611371438,0.13702481497791344
26163535000,1241,1808,561,449,464,334,8.119765290580691,0.15075291069392088
26163535100,819,1267,439,295,311,222,5.6838156594408,0.10552666534614938
26163535200,1057,1516,517,387,344,268,6.822085011467216,0.12665996314857805
26163535300,1629,2862,914,711,667,570,12.86385162255808,0.23883240530178676
26163535600,1613,2896,816,614,740,726,12.948074262243685,0.2403960968155869
26163535700,621,897,284,223,214,176,4.031047311584094,0.07484109375318498
26163535800,1864,2966,890,702,814,560,13.293766900040705,0.24681428373212438
26163536100,1763,2417,788,530,545,554,10.830219266540738,0.20107564928981272
26163536200,878,1545,487,376,384,298,6.936673558121949,0.12878743313350813
26163536300,1365,1997,715,464,473,345,8.96148497475432,0.16638041812011986
26163536400,1242,1609,462,382,446,319,7.210729536715357,0.13387560193981018
26163536500,1126,1597,488,400,390,319,7.176342202388672,0.13323716098059102
26163536600,1404,1905,530,472,529,374,8.546665709331101,0.1586788147564108
26163536700,575,805,226,180,205,194,3.604090875631658,0.06691414966602047
26163536800,735,1154,398,301,254,201,5.197679206846894,0.09650097524301741
26163536900,1384,2418,796,613,592,417,10.8717121644038,0.2018460133215463
26163537000,1497,2381,810,549,541,481,10.683806950589384,0.19835733391969862
26163537100,972,1432,443,393,352,244,6.452693223416453,0.11980177387312156
26163537200,350,450,122,131,126,71,2.0287775961905794,0.03766662173488432
26163537300,1069,1511,433,385,397,296,6.788199400292154,0.12603083726470443
26163537500,1170,1988,643,477,473,395,8.92570112963212,0.16571604930957676
26163537600,1418,2522,756,587,653,526,11.30393303681289,0.20987069781013898
26163537700,1420,2165,710,512,555,388,9.711425806613788,0.18030394413412731
26163537800,734,1125,380,292,266,187,5.063435283468744,0.09400858027001191
26163538100,1020,1803,425,393,481,504,8.060466123031734,0.1496519525024197
26163538200,769,1624,322,363,418,521,7.264408637825127,0.1348722170445742
26163538300,1738,1772,595,371,544,262,7.9117583657775254,0.14689101958791256
26163538400,1378,2707,698,619,677,713,12.12576825782812,0.22512902699147022
26163538500,2401,3943,1260,900,944,839,17.677764048732143,0.3282083027693199
26163538600,1958,3619,1097,828,943,751,16.21306758694214,0.3010145050429156
26163538700,1706,2911,815,650,678,768,13.041085580582324,0.2421229603966432
26163538800,678,1219,365,265,321,268,5.453203518689831,0.10124508204719686
26163538900,1618,2786,783,576,682,745,12.452648096006621,0.23119793234637398
