Tract,BlockGroup,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,MOS_bg,pi_i,pij_given_i,pi_ij,rate_Age18to34,rate_Age35to49,rate_Age50to64,rate_Age65plus,d0_bg,d0_18to34,d0_35to49,d0_50to64,d0_65plus,exp_workload
26163523300,261635233003,646,277,165,136,68,2.910986691915509,0.16990745727159567,0.31808999538454175,0.05404586229932109,0.08190712897047485,0.0907491311621803,0.07855949684113207,0.08110946212413422,18.502804053004475,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163524200,261635242001,1070,430,347,182,111,4.864721716427071,0.24285749887195449,0.3719021714664494,0.09031923118739066,0.04901216889774664,0.05430310889602602,0.04700898903546609,0.0485348553514365,11.071839151567186,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163525700,261635257004,889,298,312,191,88,4.0461191560435585,0.24505378691702567,0.30654870126767575,0.07512092012013998,0.058928210764609704,0.06528960293258301,0.05651975164560676,0.05835432811688503,13.311871026083175,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163526400,261635264001,506,201,144,97,64,2.2884360910193102,0.08078654963943835,0.5259227514542687,0.04248748446687028,0.10418930349060276,0.11543670113956997,0.09993097501195819,0.10317463780542493,23.53634282066646,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163530800,261635308002,444,160,90,112,82,1.9846830715528803,0.09058256720988893,0.406788597446849,0.03684795546844565,0.12013533335551846,0.13310412977388228,0.1152252735491833,0.11896537448018882,27.138547777944943,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163531800,261635318001,576,191,139,153,93,2.584536577383052,0.09364536614657618,0.5124112087925341,0.047984935264986546,0.09225273284678376,0.10221155909640256,0.08848226480109152,0.09135431353455607,20.83987389954188,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163533600,261635336002,597,172,169,156,100,2.6909898049141994,0.0864236009751064,0.5780986096444569,0.04996136356417634,0.08860329458351916,0.0981681582864357,0.08498198299023488,0.08774041596166804,20.01546652575806,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163534700,261635347001,764,237,192,180,155,3.43453341600225,0.1842463663815483,0.34609158903581955,0.06376611771506585,0.06942152936848973,0.07691569162937176,0.06658419707393644,0.06874545570926688,15.682309600035955,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
26163535600,261635356004,832,239,170,208,215,3.7173860580331706,0.2403960968155869,0.28709953177153075,0.06901760683545857,0.06413930613712224,0.07106324416995612,0.06151786396624866,0.06351467432917159,14.489056428514683,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163536500,261635365001,691,213,166,166,146,3.1018775329929023,0.13323716098059102,0.43223656920379727,0.05758997335270471,0.07686652998708352,0.08516439166478412,0.07372491253949104,0.07611795189217745,17.36413375077617,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163537200,261635372001,450,122,131,126,71,2.028777596190579,0.03766662173488431,1,0.03766662173488431,0.11752424851977807,0.13021117426179737,0.11272090654861103,0.11637971814905641,26.548704235768156,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163538200,261635382002,719,129,141,196,253,3.203838848398801,0.1348722170445742,0.44103229982364955,0.059483004065482986,0.07442027320607003,0.08245405765275216,0.07137863689442599,0.07369551840904262,16.811524833196575,225.8998,203.8896,235.526,228.12140000000002,53.86141636141637
26163538600,261635386002,823,269,175,189,190,3.6844501059248325,0.3010145050429156,0.2272518810007463,0.0684061124795112,0.06471265875541315,0.07169849109673118,0.0620677830486489,0.06408244325309279,14.618576670316079,225.8998,203.8896,235.526,228.12140000000002,53.861416361416374
