BlockGroup,TotHH,TotAdult,Age18to34,Age35to49,Age50to64,Age65plus,Tract,MOS_bg
261635006002,185,312,107,61,93,51,26163500600,1.3912688855995263
261635006004,215,312,107,91,78,36,26163500600,1.4089656384510623
261635007001,357,627,225,172,162,68,26163500700,2.82551965319371
261635007002,331,559,188,170,132,69,26163500700,2.528930149158474
261635007003,531,798,287,231,206,74,26163500700,3.6024675864535003
261635007004,460,795,308,205,202,80,26163500700,3.57722768686214
261635008001,527,971,334,252,274,111,26163500800,4.364431160159441
261635008002,482,813,302,231,197,83,26163500800,3.670109043311544
261635009001,661,1154,427,289,302,136,26163500900,5.186062479842649
261635009002,879,1419,513,390,345,171,26163500900,6.3981255170509375
261635010001,496,863,322,212,236,93,26163501000,3.874879308105995
261635010002,667,1166,430,285,285,166,26163501000,5.239054300805498
261635001001,524,911,393,243,200,75,26163500100,4.109466293191173
261635001002,968,1841,694,458,472,217,26163500100,8.273745153934186
261635002001,312,608,211,160,149,88,26163500200,2.7371669045345475
261635002002,764,1480,538,394,347,201,26163500200,6.668413068710158
261635011001,384,721,294,185,155,87,26163501100,3.248293081703943
261635011002,274,421,132,106,90,93,26163501100,1.8940201452789869
261635011003,285,464,155,117,112,80,26163501100,2.0862067090997636
261635011004,402,681,269,165,157,90,26163501100,3.0611747693912417
261635012001,766,1102,393,273,296,140,26163501200,4.949139059825701
261635013001,473,821,295,188,207,131,26163501300,3.681095843313335
261635013002,386,631,216,163,152,100,26163501300,2.8393554738419597
261635013003,449,723,291,185,132,115,26163501300,3.260100758237318
261635014001,652,1237,381,344,295,217,26163501400,5.577539588647077
261635014002,412,709,238,185,189,97,26163501400,3.188589606201408
261635014003,441,739,248,157,200,134,26163501400,3.304426112650337
261635015001,571,1061,403,306,237,115,26163501500,4.79516487080483
261635015002,348,636,219,181,161,75,26163501500,2.869540340130203
261635015003,659,1196,405,336,303,152,26163501500,5.393574984817583
261635016001,422,679,192,170,197,120,26163501600,3.0461803103486242
261635003001,478,732,284,187,190,71,26163500300,3.292300355722546
261635003002,439,732,314,188,164,66,26163500300,3.297697849610512
261635004001,151,251,71,68,79,33,26163500400,1.1278917247728792
261635004002,154,143,31,53,35,24,26163500400,0.65098427219971855
261635004003,101,157,41,45,32,39,26163500400,0.7090317810350899
261635005001,275,506,188,115,121,82,26163500500,2.2694595490372422
261635005002,369,570,214,121,147,88,26163500500,2.550675510462006
261635018001,1027,1748,535,425,471,317,26163501800,7.842158238988262
261635016002,485,788,292,168,216,112,26163501600,3.5246466742765294
261635017001,642,974,276,251,265,182,26163501700,4.37580098968317
261635017002,403,791,205,150,200,236,26163501700,3.5268742702920255
261635018002,869,1454,444,334,381,295,26163501800,6.51444150566884
261635019001,502,747,265,211,190,81,26163501900,3.369739338191908
261635019002,610,973,326,264,251,132,26163501900,4.382275094435421
261635020001,766,1289,437,357,346,149,26163502000,5.807646810758645
261635026001,283,383,127,102,78,76,26163502600,1.7267964650821173
261635026002,408,645,190,153,151,151,26163502600,2.894533402749972
261635026003,188,327,103,77,69,78,26163502600,1.4684942148947053
261635026004,411,629,185,138,153,153,26163502600,2.8160893631224293
261635026005,256,334,142,93,63,36,26163502600,1.5100235817939995
261635027001,426,607,198,132,161,116,26163502700,2.7159814968274256
261635027002,192,306,81,80,88,57,26163502700,1.3744340009128893
261635027003,284,405,124,115,103,63,26163502700,1.826434429486335
261635027004,376,534,103,102,208,121,26163502700,2.3697741054203667
261635031001,552,1048,365,249,285,149,26163503100,4.70022824328095
261635031002,570,1173,343,257,326,247,26163503100,5.245751118715582
261635032001,626,1089,406,306,259,118,26163503200,4.915003933977996
261635032002,576,979,377,266,239,97,26163503200,4.41347126890318
261635033001,704,1215,417,338,300,160,26163503300,5.478836711198108
261635033002,656,1093,388,306,247,152,26163503300,4.933416247467481
261635034001,494,673,203,178,190,102,26163503400,3.025485321251147
261635035001,431,775,285,208,176,106,26163503500,3.4937096713738125
